# Magnetic Anomaly Timescales compiled by EarthByte July 2011
# Timescales are:
# [1] Gee, J.S. and D.V. Kent, 2007, Source of oceanic magnetic anomalies
#	and the geomagnetic polarity timescale, in Treatise on Geophysics,
#	v. 5, Geomagnetism, M. Kono, (ed.), Elsevier, Amsterdam, 455-507.
# [2] Cande, S. C., and D. V. Kent (1995), Revised calibration of the
#	geomagnetic polarity timescale for the Late Cretaceous and Cenozoic,
#	J. Geophys. Res., 100(B4), 6093-6095.
# [3] Gradstein, F. M., J. G. Ogg, and A. G. Smith (2005), A geologic time
#	scale 2004, 610 pp., Cambridge Univ. Press.
#
# 1st column:   Name of a normal chron
# 2-3 columns:  Young and old end in My of normal chron for Gee & Kent (2007)
# 4-5 columns:  Young and old end in My of normal chron for Cande & Kent (1995)
# 6-7 columns:  Young and old end in My of normal chron for Gradstein et al, (2005)
# 8th column:   Name of a reverse chron
# 9-10 columns: Young and old end in My of reverse chron for Gee & Kent (2007)
# 11-12 columns: Young and old end in My of reverse chron for Cande & Kent (1995)
# 13-14 columns: Young and old end in My of reverse chron for Gradstein et al, (2005)
#-------------------------------------------------------------------------------------------------------------------
#Nchron	y	o	y	o	y	o	Rchron	y	o	y	o	y	o
C5Ar.1n 	12.678	12.708	12.678	12.708	12.73	12.765	C5Ar.2r 	12.708	12.775	12.708	12.775	12.765	12.82
C5Ar.2n 	12.775	12.819	12.775	12.819	12.82	12.878	C5Ar.3r 	12.819	12.991	12.819	12.991	12.878	13.015
C5AAn 	12.991	13.139	12.991	13.139	13.015	13.183	C5AAr 	13.139	13.302	13.139	13.302	13.183	13.369
C5ABn 	13.302	13.51	13.302	13.51	13.369	13.605	C5ABr 	13.51	13.703	13.51	13.703	13.605	13.734
C5ACn 	13.703	14.076	13.703	14.076	13.734	14.095	C5ACr 	14.076	14.178	14.076	14.178	14.095	14.194
C5ADn 	14.178	14.612	14.178	14.612	14.194	14.581	C5ADr 	14.612	14.8	14.612	14.8	14.581	14.784
C5Bn.1n 	14.8	14.888	14.8	14.888	14.784	14.877	C5Bn.1r	14.888	15.034	14.888	15.034	14.877	15.032
C5Bn.2n 	15.034	15.155	15.034	15.155	15.032	15.16	C5Br 	15.155	16.014	15.155	16.014	15.16	15.974
C5Cn.1n 	16.014	16.293	16.014	16.293	15.974	16.268	C5Cn.1r 	16.293	16.327	16.293	16.327	16.268	16.303
C5Cn.2n 	16.327	16.488	16.327	16.488	16.303	16.472	C5Cn.2r 	16.488	16.556	16.488	16.556	16.472	16.543
C5Cn.3n 	16.556	16.726	16.556	16.726	16.543	16.721	C5Cr 	16.726	17.277	16.726	17.277	16.721	17.235
C5Dn 	17.277	17.615	17.277	17.615	17.235	17.533	C5Dr	17.615	17.793	17.615	N/A	17.533	N/A
C5Dr-1n 	17.793	17.854	N/A	N/A	N/A	N/A	C5Dr	17.854	18.281	N/A	18.281	N/A	18.056
C5En 	18.281	18.781	18.281	18.781	18.056	18.524	C5Er 	18.781	19.048	18.781	19.048	18.524	18.748
C6n 	19.048	20.131	19.048	20.131	18.748	19.722	C6r 	20.131	20.518	20.131	20.518	19.722	20.04
C6An.1n 	20.518	20.725	20.518	20.725	20.04	20.213	C6An.1r 	20.725	20.996	20.725	20.996	20.213	20.439
C6An.2n 	20.996	21.32	20.996	21.32	20.439	20.709	C6Ar 	21.32	21.768	21.32	21.768	20.709	21.083
C6AAn 	21.768	21.859	21.768	21.859	21.083	21.159	C6AAr.1r 	21.859	22.151	21.859	22.151	21.159	21.403
C6AAr.1n 	22.151	22.248	22.151	22.248	21.403	21.483	C6AAr.2r 	22.248	22.459	22.248	22.459	21.483	21.659
C6AAr.2n 	22.459	22.493	22.459	22.493	21.659	21.688	C6AAr.3r 	22.493	22.588	22.493	22.588	21.688	21.767
C6Bn.1n 	22.588	22.75	22.588	22.75	21.767	21.936	C6Bn.1r 	22.75	22.804	22.75	22.804	21.936	21.992
C6Bn.2n 	22.804	23.069	22.804	23.069	21.992	22.268	C6Br 	23.069	23.353	23.069	23.353	22.268	22.564
C6Cn.1n 	23.353	23.535	23.353	23.535	22.564	22.754	C6Cn.1r 	23.535	23.677	23.535	23.677	22.754	22.902
C6Cn.2n	23.677	23.8	23.677	23.8	22.902	23.03	C6Cn.2r	23.8	23.999	23.8	23.999	23.03	23.249
C6Cn.3n 	23.999	24.118	23.999	24.118	23.249	23.375	C6Cr 	24.118	24.73	24.118	24.73	23.375	24.044
C7n.1n 	24.73	24.781	24.73	24.781	24.044	24.102	C7n.1r 	24.781	24.835	24.781	24.835	24.102	24.163
C7n.2n 	24.835	25.183	24.835	25.183	24.163	24.556	C7r 	25.183	25.496	25.183	25.496	24.556	24.915
C7An 	25.496	25.648	25.496	25.648	24.915	25.091	C7Ar*	25.648	25.678	25.648	N/A	25.091	N/A
C7Ar-1n 	25.678	25.705	N/A	N/A	N/A	N/A	C7Ar*	25.705	25.823	N/A	25.823	N/A	25.295
C8n.1n 	25.823	25.951	25.823	25.951	25.295	25.444	C8n.1r 	25.951	25.992	25.951	25.992	25.444	25.492
C8n.2n 	25.992	26.554	25.992	26.554	25.492	26.154	C8r 	26.554	27.027	26.554	27.027	26.154	26.714
C9n 	27.027	27.972	27.027	27.972	26.714	27.826	C9r	27.972	28.283	27.972	28.283	27.826	28.186
C10n.1n 	28.283	28.512	28.283	28.512	28.186	28.45	C10n.1r 	28.512	28.578	28.512	28.578	28.45	28.525
C10n.2n 	28.578	28.745	28.578	28.745	28.525	28.715	C10r 	28.745	29.401	28.745	29.401	28.715	29.451
C11n.1n 	29.401	29.662	29.401	29.662	29.451	29.74	C11n.1r 	29.662	29.765	29.662	29.765	29.74	29.853
C11n.2n 	29.765	30.098	29.765	30.098	29.853	30.217	C11r 	30.098	30.479	30.098	30.479	30.217	30.627
C12n 	30.479	30.939	30.479	30.939	30.627	31.116	C12r 	30.939	33.058	30.939	33.058	31.116	33.266
C13n 	33.058	33.545	33.058	33.545	33.266	33.738	C13r 	33.545	34.655	33.545	34.655	33.738	34.782
C15n 	34.655	34.94	34.655	34.94	34.782	35.043	C15r 	34.94	35.343	34.94	35.343	35.043	35.404
C16n.1n 	35.343	35.526	35.343	35.526	35.404	35.567	C16n.1r 	35.526	35.685	35.526	35.685	35.567	35.707
C16n.2n 	35.685	36.341	35.685	36.341	35.707	36.276	C16r 	36.341	36.618	36.341	36.618	36.276	36.512
C17n.1n 	36.618	37.473	36.618	37.473	36.512	37.235	C17n.1r 	37.473	37.604	37.473	37.604	37.235	37.345
C17n.2n 	37.604	37.848	37.604	37.848	37.345	37.549	C17n.2r 	37.848	37.92	37.848	37.92	37.549	37.61
C17n.3n 	37.92	38.113	37.92	38.113	37.61	37.771	C17r 	38.113	38.426	38.113	38.426	37.771	38.032
C18n.1n 	38.426	39.552	38.426	39.552	38.032	38.975	C18n.1r 	39.552	39.631	39.552	39.631	38.975	39.041
C18n.2n 	39.631	40.13	39.631	40.13	39.041	39.464	C18r 	40.13	41.257	40.13	41.257	39.464	40.439
C19n 	41.257	41.521	41.257	41.521	40.439	40.671	C19r 	41.521	42.536	41.521	42.536	40.671	41.59
C20n 	42.536	43.789	42.536	43.789	41.59	42.774	C20r 	43.789	46.264	43.789	46.264	42.774	45.346
C21n 	46.264	47.906	46.264	47.906	45.346	47.235	C21r 	47.906	49.037	47.906	49.037	47.235	48.599
C22n 	49.037	49.714	49.037	49.714	48.599	49.427	C22r 	49.714	50.778	49.714	50.778	49.427	50.73
C23n.1n 	50.778	50.946	50.778	50.946	50.73	50.932	C23n.1r 	50.946	51.047	50.946	51.047	50.932	51.057
C23n.2n 	51.047	51.743	51.047	51.743	51.057	51.901	C23r 	51.743	52.364	51.743	52.364	51.901	52.648
C24n.1n 	52.364	52.663	52.364	52.663	52.648	53.004	C24n.1r 	52.663	52.757	52.663	52.757	53.004	53.116
C24n.2n 	52.757	52.801	52.757	52.801	53.116	53.167	C24n.2r 	52.801	52.903	52.801	52.903	53.167	53.286
C24n.3n 	52.903	53.347	52.903	53.347	53.286	53.808	C24r 	53.347	55.904	53.347	55.904	53.808	56.665
C25n 	55.904	56.391	55.904	56.391	56.665	57.18	C25r 	56.391	57.554	56.391	57.554	57.18	58.379
C26n 	57.554	57.911	57.554	57.911	58.379	58.737	C26r 	57.911	60.92	57.911	60.92	58.737	61.65
C27n 	60.92	61.276	60.92	61.276	61.65	61.983	C27r 	61.276	62.499	61.276	62.499	61.983	63.104
C28n 	62.499	63.634	62.499	63.634	63.104	64.128	C28r 	63.634	63.976	63.634	63.976	64.128	64.432
C29n 	63.976	64.745	63.976	64.745	64.432	65.118	C29r 	64.745	65.578	64.745	65.578	65.118	65.861
C30n 	65.578	67.61	65.578	67.61	65.861	67.696	C30r 	67.61	67.735	67.61	67.735	67.696	67.809
C31n 	67.735	68.737	67.735	68.737	67.809	68.732	C31r 	68.737	71.071	68.737	71.071	68.732	70.961
C32n.1n 	71.071	71.338	71.071	71.338	70.961	71.225	C32n.1r 	71.338	71.587	71.338	71.587	71.225	71.474
C32n.2n 	71.587	73.004	71.587	73.004	71.474	72.929	C32r.1r 	73.004	73.291	73.004	73.291	72.929	73.231
C32r.1n 	73.291	73.374	73.291	73.374	73.231	73.318	C32r.2r 	73.374	73.619	73.374	73.619	73.318	73.557
C33n 	73.619	79.075	73.619	79.075	73.557	79.543	C33r 	79.075	83	79.075	83	79.543	84
C34n 	83	120.6	83	118	84	125	CM0r 	120.6	121	118	N/A	124.61	125
CM1n	121	123.19	N/A	N/A	125	127.61	CM1r 	123.19	123.55	N/A	N/A	127.61	127.61
CM2n 	123.55	124.05	N/A	N/A	127.61	128.11	CM3r 	124.05	125.67	N/A	N/A	128.11	129.76
CM4n 	125.67	126.57	N/A	N/A	129.76	130.8	CM5r 	126.57	126.91	N/A	N/A	130.8	131.19
CM6n 	126.91	127.11	N/A	N/A	131.19	131.41	CM6r 	127.11	127.23	N/A	N/A	131.41	131.56
CM7n 	127.23	127.49	N/A	N/A	131.56	131.85	CM7r 	127.49	127.79	N/A	N/A	131.85	132.2
