# $Id: FZ_KM_0001-0410.txt 366 2015-03-24 01:13:09Z pwessel $
> -IFZ_KM_0001-0410 -L"Untitled Path" -T"KM, USYD"
-41.9978844249	33.6567777708
-42.3910711317	33.7693225882
-43.0034654185	33.9314972396
-43.4096839113	34.020560034
-43.780608432	34.1112526889
-44.6285654591	34.3021697344
-45.0071351891	34.3610554743
-45.3916110484	34.3905839886
-45.8053782206	34.4075707424
-46.0371447104	34.4038543608
-46.3375437948	34.3556727893
-46.9140834483	34.2549626309
-47.5603726858	34.1799933941
-48.0963023629	34.1498806047
-48.3878678663	34.1504897251
-48.6935135096	34.1603408076
-49.1227306018	34.2095478323
