# $Id: FZLC_KM_0001-0044.txt 181 2011-07-29 23:51:55Z pwessel $
> -IFZLC_KM_0001-0044 -L"Untitled Path" -T"KM, USYD"
-28.7625054222	-63.4219934592
-27.9413613793	-63.5958655502
-27.0839602784	-63.8423762815
-26.8530194183	-64.0588701967
-26.6532508677	-64.3850293552
-26.3091776619	-64.6323981193
-25.7993755408	-64.8902548972
-24.9597520246	-65.2101684587
-24.1224005477	-65.5271851743
-22.8141984206	-66.0340971964
-21.8500837457	-66.4826499846
-20.9863753016	-66.9031711004
-20.7176322151	-67.0762170597
-20.7098158874	-67.2329768772
